id,plate_text,confidence,source,frame_num,plate_img,timestamp
102,NAINRU,0.592,video,36,video_20260523_122947_353827.jpg,2026-05-23 12:29:47
103,MELSU,0.479,video,36,video_20260523_122947_452979.jpg,2026-05-23 12:29:47
104,MISIUSU,0.567,video,45,video_20260523_122947_992264.jpg,2026-05-23 12:29:47
105,MISISU,0.5,video,48,video_20260523_122948_146235.jpg,2026-05-23 12:29:48
106,WSISU,0.405,video,54,video_20260523_122948_490651.jpg,2026-05-23 12:29:48
107,WISIUSU,0.58,video,57,video_20260523_122948_744900.jpg,2026-05-23 12:29:48
108,WSIVSU,0.524,video,69,video_20260523_122949_283531.jpg,2026-05-23 12:29:49
109,GXIS 0GJ,0.513,video,69,video_20260523_122949_330588.jpg,2026-05-23 12:29:49
110,LNSU,0.536,video,72,video_20260523_122949_516259.jpg,2026-05-23 12:29:49
111,GXIS 0G,0.417,video,84,video_20260523_122950_072941.jpg,2026-05-23 12:29:50
112,GXI5 0G J,0.4,video,108,video_20260523_122951_576833.jpg,2026-05-23 12:29:51
113,GXIS OG J,0.447,video,120,video_20260523_122952_321279.jpg,2026-05-23 12:29:52
114,GXIS OGJ,0.479,video,126,video_20260523_122952_672336.jpg,2026-05-23 12:29:52
115,CHD LMEVCV,0.628,video,135,video_20260523_122953_390153.jpg,2026-05-23 12:29:53
116,LIIA,0.423,video,141,video_20260523_122953_983650.jpg,2026-05-23 12:29:53
117,APOS JE,0.536,video,144,video_20260523_122954_122102.jpg,2026-05-23 12:29:54
118,LOSZA,0.404,video,144,video_20260523_122954_194823.jpg,2026-05-23 12:29:54
119,LPOS JEO,0.516,video,150,video_20260523_122954_488940.jpg,2026-05-23 12:29:54
120,APOS JEO,0.447,video,153,video_20260523_122954_682901.jpg,2026-05-23 12:29:54
121,APO5 JEO,0.672,video,165,video_20260523_122955_269079.jpg,2026-05-23 12:29:55
122,LRJIZ,0.406,video,168,video_20260523_122955_458128.jpg,2026-05-23 12:29:55
123,HOBEK,0.433,video,174,video_20260523_122955_824899.jpg,2026-05-23 12:29:55
124,APOS EO,0.677,video,180,video_20260523_122956_095673.jpg,2026-05-23 12:29:56
125,APOS JEQE,0.537,video,195,video_20260523_122956_807438.jpg,2026-05-23 12:29:56
126,APOS JEQ,0.533,video,198,video_20260523_122957_031165.jpg,2026-05-23 12:29:57
127,KMOSZZK,0.514,video,210,video_20260523_122957_741319.jpg,2026-05-23 12:29:57
128,KK05ZZK,0.53,video,213,video_20260523_122957_962944.jpg,2026-05-23 12:29:57
129,HIK,0.439,video,219,video_20260523_122958_335867.jpg,2026-05-23 12:29:58
130,LZK,0.552,video,222,video_20260523_122958_479110.jpg,2026-05-23 12:29:58
131,KHOSZZK,0.491,video,225,video_20260523_122958_680253.jpg,2026-05-23 12:29:58
132,LUK,0.494,video,234,video_20260523_122959_129761.jpg,2026-05-23 12:29:59
133,UNOZERD,0.413,video,234,video_20260523_122959_197218.jpg,2026-05-23 12:29:59
134,LHSZI,0.531,video,237,video_20260523_122959_376130.jpg,2026-05-23 12:29:59
135,UOXD,0.437,video,237,video_20260523_122959_432775.jpg,2026-05-23 12:29:59
136,LDD,0.56,video,243,video_20260523_122959_679327.jpg,2026-05-23 12:29:59
137,CAL,0.443,video,243,video_20260523_122959_750547.jpg,2026-05-23 12:29:59
